Listing_Month,Sale_Price,Built_Renovated,Grade,Condition,Living_Area,Total_Basement,Finished_Basement,Bedrooms,Bathrooms,Zoning,Lot_size ,Per_Sqft_Price,Sale_Rank
June,668000,1999,Good,Average,2670,0,0,4,2.5,R8,4410,250.1872659,Quick_Sale
June,457500,1996,Good,Average,1500,0,0,3,2.5,R18P,4445,305,Quick_Sale
Febuary,545000,2005,Average,Average,2260,0,0,3,2.5,R6,4491,241.1504425,Quick_Sale
March,506000,1993,Good,Average,2030,0,0,3,2.5,R6P,4500,249.2610837,Quick_Sale
June,545800,1989,Good,Average,1980,0,0,4,2.5,R6PSO,4500,275.6565657,Quick_Sale
April,500000,1988,Good,Average,1760,0,0,3,2.25,R6P,4539,284.0909091,Quick_Sale
May,660000,2002,Good,Average,2510,0,0,4,2.5,R6,4543,262.9482072,Quick_Sale
June,500000,1994,Good,Good,1710,0,0,3,2.25,R6P,4561,292.3976608,Quick_Sale
June,639999,2002,Good,Average,2500,0,0,4,2.5,R6,4566,255.9996,Quick_Sale
June,513000,1992,Good,Average,1810,0,0,3,2.5,R12P,4592,283.4254144,Quick_Sale
July,565000,2003,Good,Average,2280,0,0,4,2.5,R4,4602,247.8070175,Quick_Sale
July,580000,2003,Good,Average,2150,0,0,3,2.5,R4,4604,269.7674419,Quick_Sale
May,505000,1996,Good,Average,1610,0,0,3,2.5,R18P,4611,313.6645963,Quick_Sale
March,537500,2005,Average,Average,2550,0,0,4,2.5,R6,4630,210.7843137,Quick_Sale
April,677770,2011,Good,Average,2660,0,0,3,2.5,R8,4641,254.8007519,Quick_Sale
May,455000,1985,Average,Good,1470,0,0,3,2.25,R6P,4653,309.5238095,Quick_Sale
July,509950,1993,Good,Average,1880,0,0,3,2.5,R6P,4668,271.25,Quick_Sale
July,533000,1990,Good,Average,2060,0,0,3,2.5,R6PSO,4812,258.7378641,Quick_Sale
May,532000,1993,Good,Average,1820,0,0,3,2.5,R6P,4910,292.3076923,Quick_Sale
August,480680,1996,Good,Average,1730,0,0,3,2.5,R18P,4924,277.849711,Quick_Sale
March,607000,2004,Good,Average,2320,0,0,3,2.5,R4,4970,261.637931,Quick_Sale
May,739900,2004,Good,Average,3290,0,0,5,2.5,R4,5029,224.893617,Quick_Sale
Febuary,675000,2004,Good,Average,3230,0,0,4,2.5,R4,5033,208.9783282,Quick_Sale
March,496000,2002,Good,Average,1790,0,0,3,2.5,R4,5105,277.0949721,Quick_Sale
April,474750,1990,Good,Average,2090,0,0,3,2.5,R6P,5146,227.15311,Quick_Sale
June,449950,1985,Average,Average,1610,0,0,3,2.25,R6P,5159,279.4720497,Quick_Sale
Febuary,534950,1988,Good,Average,2630,0,0,4,3.5,R6P,5176,203.4030418,Quick_Sale
May,629950,2010,Good,Average,2540,0,0,4,2.5,R4,5226,248.011811,Quick_Sale
May,561000,1990,Good,Average,2570,0,0,4,2.5,R6PSO,5250,218.2879377,Quick_Sale
June,775000,2003,Better,Average,3080,0,0,4,3.5,R6,5250,251.6233766,Quick_Sale
March,530000,2005,Average,Average,2170,0,0,3,2.5,R6,5379,244.2396313,Quick_Sale
March,879000,2013,Very Good,Average,3240,0,0,4,3,R4,5379,271.2962963,Quick_Sale
May,578000,1996,Good,Average,2070,0,0,4,2.5,R6P,5415,279.2270531,Quick_Sale
June,627000,2005,Average,Average,3570,0,0,5,3.25,R6,5425,175.6302521,Quick_Sale
Febuary,548000,1994,Good,Average,2280,0,0,4,2.5,R6P,5476,240.3508772,Quick_Sale
March,540000,1992,Good,Average,1990,0,0,4,2.5,R6P,5485,271.3567839,Quick_Sale
Febuary,681000,2006,Better,Average,2540,0,0,3,2.5,R6,5489,268.1102362,Quick_Sale
August,498688,1989,Good,Average,1910,0,0,3,2.5,R6P,5600,261.0931937,Quick_Sale
Febuary,722000,2005,Better,Average,3250,0,0,4,2.75,R6,5610,222.1538462,Quick_Sale
Febuary,722000,2005,Better,Average,3250,0,0,4,2.75,R6,5610,222.1538462,Quick_Sale
October,424000,1988,Good,Average,1330,0,0,3,2,R6P,5632,318.7969925,Quick_Sale
May,700000,2004,Better,Average,2770,0,0,4,2.5,R6,5686,252.7075812,Quick_Sale
June,560000,1992,Good,Average,2170,0,0,4,3,R6P,5764,258.0645161,Quick_Sale
April,496700,1989,Good,Good,1740,0,0,3,2.5,R6PSO,5782,285.4597701,Quick_Sale
April,535800,1994,Good,Average,1900,0,0,4,2.5,R6P,5790,282,Quick_Sale
January,645000,2002,Better,Average,2890,0,0,4,2.5,R6,5849,223.183391,Quick_Sale
July,731000,2005,Better,Average,3070,0,0,4,2.5,R6,5936,238.1107492,Quick_Sale
May,536000,1991,Good,Average,1990,0,0,4,2.25,R6P,5948,269.3467337,Quick_Sale
July,728000,2003,Better,Average,3290,0,0,4,2.5,R6,5951,221.2765957,Quick_Sale
September,641000,2004,Good,Average,2600,0,0,4,2.5,R6,6015,246.5384615,Quick_Sale
May,545000,1990,Good,Average,2090,0,0,4,2.5,R6P,6023,260.7655502,Quick_Sale
